REGION_NAME,CENTER_LAT,CENTER_LON
MtNewall,-77.500714,162.721438
RoundMountain,-77.674082,161.105474
KukriHills,-77.788642,162.067491
BriggsHills,-77.820558,162.986548
ThomasHeights,-77.754111,163.838801
MtCoates,-77.791437,162.151634
BeaconValley,-77.843973,160.614850
KennarValley,-77.766667,160.416667
ArenaValley,-77.766667,160.984817
PivotPeak,-78.016982,161.052373
GarwoodValley,-78.027018,164.145030
MiersValley,-78.100173,163.951029
HealdIsland,-78.246726,163.846957
BlueGlacier,-77.838911,164.160165
MtRucker,-78.189229,162.549516
TroughLake,-78.290396,163.453427
MtHuggins,-78.289502,162.484093
TheSpire,-78.151835,161.622379
TableMountain,-77.953556,162.011733
NorthwestMountain,-77.642933,160.642448
NewHarbor,-77.602283,163.827973
FryxellBasin,-77.609082,163.174401
KukriHills,-77.669085,163.113440
HoareBasin,-77.635540,162.848137
MummyPond,-77.666234,162.649780
BonneyBasin,-77.713469,162.440644
PearseValley,-77.716389,161.532923
SimmonsLake,-77.766353,161.332523
FriisHills,-77.751255,161.477156
TheLabyrinth,-77.548424,160.845559
TheDais,-77.547525,161.235178
SouthFork,-77.564069,161.250903
NorthFork,-77.531746,161.222081
KoenigValley,-77.599944,160.785199
PanoramaPeak,-77.616972,161.399816
LakeVanda,-77.531235,161.597066
MeserveGlacier,-77.499759,162.239217
LakeBrownworth,-77.438205,162.650366
BullPass,-77.467320,161.749361
LowerVictoria,-77.374409,162.236876
LakeVida,-77.387017,161.915887
UpperVictoria,-77.326067,161.613865
UpperBarwick,-77.341014,160.961112
LowerBarwick,-77.359072,161.410156
BalhamValley,-77.413505,161.075285
UpperMcKelvey,-77.453316,160.965910
LowerMcKelvey,-77.443077,161.499573
HalzenMesa,-77.394220,161.439808
RobertsMassif,-85.531935,-177.097527
BennettPlatform,-85.216667,-177.833333
KitchingRidge,-85.200000,-177.100000
VickersNunatak,-85.333333,-176.666667
WestBluff,-85.366667,-176.366667
SchroederHill,-85.383333,-175.200000
EllisBluff,-85.333333,-175.583333
CollinsonRidge,-85.216667,-175.350000
ShenkPeak,-85.183333,-174.750000
CheuValley,-85.183333,-173.900000
GatlinGlacier,-85.166667,-173.500000
MountHeekin,-85.050000,-177.266667
PendantRidge,-85.066667,-174.750000
ThanksgivingPoint,-84.933333,-177.000000
MountGreenlee,-84.850000,-177.000000
TaylorNunatak,-84.900000,-176.000000
MountCole,-84.666667,-177.133333
MountSpeed,-84.500000,-176.833333
NilsenPeak,-84.533333,-175.416667
MountWendland,-84.700000,-175.300000
