Tier1,Tier2,Tier3,Tier4
Northern Victoria Land,McMurdo Dry Valleys,Asgard Range,Mt. Newall
Northern Victoria Land,McMurdo Dry Valleys,Asgard Range,Round Mountain
Northern Victoria Land,McMurdo Dry Valleys,Ferrar Glacier,Kukri Hills
Northern Victoria Land,McMurdo Dry Valleys,Ferrar Glacier,Briggs Hills
Northern Victoria Land,McMurdo Dry Valleys,Ferrar Glacier,Thomas Heights
Northern Victoria Land,McMurdo Dry Valleys,Kukri Hills,Mt. Coates
Northern Victoria Land,McMurdo Dry Valleys,Quartermain Mountains,Beacon Valley
Northern Victoria Land,McMurdo Dry Valleys,Quartermain Mountains,Kennar Valley
Northern Victoria Land,McMurdo Dry Valleys,Quartermain Mountains,Arena Valley
Northern Victoria Land,McMurdo Dry Valleys,Quartermain Mountains,Pivot Peak
Northern Victoria Land,McMurdo Dry Valleys,Royal Society Range,Garwood Valley
Northern Victoria Land,McMurdo Dry Valleys,Royal Society Range,Miers Valley
Northern Victoria Land,McMurdo Dry Valleys,Royal Society Range,Heald Island
Northern Victoria Land,McMurdo Dry Valleys,Royal Society Range,Blue Glacier
Northern Victoria Land,McMurdo Dry Valleys,Royal Society Range,Mt. Rucker
Northern Victoria Land,McMurdo Dry Valleys,Royal Society Range,Trough Lake
Northern Victoria Land,McMurdo Dry Valleys,Royal Society Range,Mt. Huggins
Northern Victoria Land,McMurdo Dry Valleys,Royal Society Range,The Spire
Northern Victoria Land,McMurdo Dry Valleys,Royal Society Range,Table Mountain
Northern Victoria Land,McMurdo Dry Valleys,Taylor Valley,Northwest Mountain
Northern Victoria Land,McMurdo Dry Valleys,Taylor Valley,New Harbor
Northern Victoria Land,McMurdo Dry Valleys,Taylor Valley,Fryxell Basin
Northern Victoria Land,McMurdo Dry Valleys,Taylor Valley,Kukri Hills
Northern Victoria Land,McMurdo Dry Valleys,Taylor Valley,Hoare Basin
Northern Victoria Land,McMurdo Dry Valleys,Taylor Valley,Mummy Pond
Northern Victoria Land,McMurdo Dry Valleys,Taylor Valley,Bonney Basin
Northern Victoria Land,McMurdo Dry Valleys,Taylor Valley,Pearse Valley
Northern Victoria Land,McMurdo Dry Valleys,Taylor Valley,Simmons Lake
Northern Victoria Land,McMurdo Dry Valleys,Taylor Valley,Friis Hills
Northern Victoria Land,McMurdo Dry Valleys,Wright Valley,The Labyrinth
Northern Victoria Land,McMurdo Dry Valleys,Wright Valley,The Dais
Northern Victoria Land,McMurdo Dry Valleys,Wright Valley,South Fork
Northern Victoria Land,McMurdo Dry Valleys,Wright Valley,North Fork
Northern Victoria Land,McMurdo Dry Valleys,Wright Valley,Koenig Valley
Northern Victoria Land,McMurdo Dry Valleys,Wright Valley,Panorama Peak
Northern Victoria Land,McMurdo Dry Valleys,Wright Valley,Lake Vanda
Northern Victoria Land,McMurdo Dry Valleys,Wright Valley,Meserve Glacier
Northern Victoria Land,McMurdo Dry Valleys,Wright Valley,Lake Brownworth
Northern Victoria Land,McMurdo Dry Valleys,Bull Pass,Bull Pass
Northern Victoria Land,McMurdo Dry Valleys,Victoria Valley,Lower Victoria
Northern Victoria Land,McMurdo Dry Valleys,Victoria Valley,Lake Vida
Northern Victoria Land,McMurdo Dry Valleys,Victoria Valley,Upper Victoria
Northern Victoria Land,McMurdo Dry Valleys,Barwick Valley,Upper Barwick
Northern Victoria Land,McMurdo Dry Valleys,Barwick Valley,Lower Barwick
Northern Victoria Land,McMurdo Dry Valleys,Balham Valley,Balham Valley
Northern Victoria Land,McMurdo Dry Valleys,McKelvey Valley,Upper McKelvey
Northern Victoria Land,McMurdo Dry Valleys,McKelvey Valley,Lower McKelvey
Northern Victoria Land,McMurdo Dry Valleys,McKelvey Valley,Halzen Mesa
Central Transantarctic Mountains,Shackleton Glacier,Roberts Massif,-Roberts Massif
Central Transantarctic Mountains,Shackleton Glacier,Mount Black,Bennett Platform
Central Transantarctic Mountains,Shackleton Glacier,Mount Black,Kitching Ridge
Central Transantarctic Mountains,Shackleton Glacier,Vickers Nunatak,Vickers Nunatak
Central Transantarctic Mountains,Shackleton Glacier,Cumulus Hills,West Bluff
Central Transantarctic Mountains,Shackleton Glacier,Cumulus Hills,Schroeder Hill
Central Transantarctic Mountains,Shackleton Glacier,Cumulus Hills,Ellis Bluff
Central Transantarctic Mountains,Shackleton Glacier,Cumulus Hills,Collinson Ridge
Central Transantarctic Mountains,Shackleton Glacier,Cumulus Hills,Shenk Peak
Central Transantarctic Mountains,Shackleton Glacier,Cumulus Hills,Cheu Valley
Central Transantarctic Mountains,Shackleton Glacier,Cumulus Hills,Gatlin Glacier
Central Transantarctic Mountains,Shackleton Glacier,Mount Heekin,Mount Heekin
Central Transantarctic Mountains,Shackleton Glacier,Pendant Ridge,Pendant Ridge
Central Transantarctic Mountains,Shackleton Glacier,Thanksgiving Point,Thanksgiving Point
Central Transantarctic Mountains,Shackleton Glacier,Mount Greenlee,Mount Greenlee
Central Transantarctic Mountains,Shackleton Glacier,Taylor Nunatak,Taylor Nunatak
Central Transantarctic Mountains,Shackleton Glacier,Mount Cole,Mount Cole
Central Transantarctic Mountains,Shackleton Glacier,Mount Speed,Mount Speed
Central Transantarctic Mountains,Shackleton Glacier,Nilsen Peak,Nilsen Peak
Central Transantarctic Mountains,Shackleton Glacier,Mount Wendland,Mount Wendland
